Ranking,Player,2021/22,2021/22(*)
163.,Evan Mobley,8075160,9337691
164.,De'Andre Hunter,7775400,8991064
165.,DJ Augustin,7622467,8814220
166.,Mo Bamba,7568743,8752097
167.,Ivica Zubac,7518518,8694019
168.,Rajon Rondo,7500000,8672605
168.,TJ McConnell,7500000,8672606
170.,Patrick Williams,7422000,8582411
171.,Cory Joseph,7310000,8452900
172.,Scottie Barnes,7280400,8418672
173.,Darius Garland,7040880,8141704
174.,Chris Boucher,7020000,8117559
175.,PJ Tucker,7000000,8094432
175.,Zach Collins,7000000,8094432
177.,Wendell Carter,6920027,8001956
178.,Juan Hernangomez,6803190,7866851
179.,Isaac Okoro,6720720,7771488
180.,Jalen Suggs,6592920,7623706
181.,Cameron Payne,6500000,7516258
182.,Joakim Noah,6431666,7437241
183.,Jarrett Culver,6395160,7395027
184.,Khem Birch,6350000,7342806
185.,Collin Sexton,6349671,7342426
186.,Onyeka Okongwu,6104280,7058669
187.,Justin Holiday,6006420,6945508
188.,Josh Giddey,5988000,6924209
189.,Patrick Mills,5890000,6810886
189.,Dennis Schroeder,5890000,6810886
189.,Rudy Gay,5890000,6810886
192.,Kevin Knox,5845978,6759982
193.,Coby White,5837760,6750479
194.,Timofey Mozgov,5573333,6444709
195.,Killian Hayes,5572680,6443954
196.,Mikal Bridges,5557725,6426661
197.,Shai Gilgeous-Alexander,5495532,6354744
198.,Jonathan Kuminga,5466360,6321011
199.,Miles Bridges,5421493,6269130
200.,Jaxson Hayes,5348280,6184470
201.,Pat Connaughton,5333334,6167187
202.,Kris Dunn,5317430,6148796
203.,George Hill,5275491,6100300
204.,Michael Porter,5258735,6080925
205.,Dewayne Dedmon,5256308,6078118
206.,Ryan Anderson,5214583,6029870
207.,Hamidou Diallo,5200000,6013007
208.,Kevon Looney,5178572,5988228
209.,Troy Brown,5170564,5978968
210.,Obi Toppin,5105160,5903339
211.,Franz Wagner,5007840,5790803
212.,Josh Jackson,5005350,5787924
213.,Louis Williams,5000000,5781737
213.,Luol Deng,5000000,5781737
213.,Kendrick Nunn,5000000,5781737
213.,Robin Lopez,5000000,5781737
213.,JaVale McGee,5000000,5781737
218.,Danuel House,4997424,5778758
219.,Rui Hachimura,4916160,5684789
220.,Garrett Temple,4910000,5677666
220.,Taj Gibson,4910000,5677666
222.,Torrey Craig,4878049,5640719
223.,Bruce Brown,4736102,5476579
224.,Deni Avdija,4692840,5426553
225.,Donte DiVincenzo,4675830,5406884
226.,Cam Reddish,4670160,5400328
227.,David Nwaba,4650000,5377016
228.,Furkan Korkmaz,4629630,5353461
229.,Davion Mitchell,4603200,5322898
230.,Bryn Forbes,4500000,5203563
230.,Jeff Green,4500000,5203563
230.,Ishmael Smith,4500000,5203563
233.,Jalen Smith,4458000,5154997
234.,Lonnie Walker,4447896,5143313
235.,Cameron Johnson,4437000,5130714
236.,Ziaire Williams,4373040,5056754
237.,Bobby Portis,4347600,5027336
237.,Moe Harkless,4347600,5027336
239.,Kevin Huerter,4253357,4918358
240.,Devin Vassell,4235160,4897316
241.,Chandler Hutchison,4224186,4884626
242.,Willie Cauley-Stein,4220083,4879881
243.,PJ Washington,4215120,4874143
244.,James Bouknight,4154400,4803930
245.,Jevon Carter,4107149,4749291
246.,Josh Okogie,4087904,4727037
247.,Grayson Allen,4054695,4688636
248.,Jarred Vanderbilt,4050000,4683207
249.,Tyrese Haliburton,4023600,4652679
250.,Tyler Herro,4004280,4630339
251.,Gorgui Dieng,4000000,4625390
251.,Dorian Finney-Smith,4000000,4625390
251.,Terence Davis,4000000,4625390
254.,Aaron Holiday,3980551,4602900
255.,Josh Primo,3946800,4563872
256.,Jake Layman,3940184,4556222
257.,Anfernee Simons,3938818,4554642
258.,Justise Winslow,3902439,4512575
259.,Kira Lewis,3822240,4419837
260.,Romeo Langford,3804360,4399162
261.,Sekou Doumbouya,3799131,4393114
262.,Landry Shamet,3768342,4357512
263.,Chris Duarte,3749400,4335609
264.,Alex Len,3732000,4315489
265.,Robert Williams,3661976,4234516
266.,Aaron Nesmith,3631200,4198929
267.,Moses Moody,3562200,4119141
268.,Boban Marjanovic,3500000,4047216
268.,Mike Muscala,3500000,4047216
270.,Cole Anthony,3449400,3988705
271.,Corey Kispert,3383640,3912663
272.,Luka Samanic,3355239,3879821
273.,Michael Carter-Williams,3300000,3815946
273.,Georges Niang,3300000,3815946
275.,Isaiah Stewart,3277080,3789443
275.,Chuma Okeke,3277080,3789443
277.,Nickeil Alexander-Walker,3261480,3771404
278.,Alperen Sengun,3214680,3717287
279.,Jon Leuer,3169348,3664867
280.,Trey Burke,3150000,3642494
281.,Aleksej Pokusevski,3113160,3599894
282.,Facundo Campazzo,3100000,3584677
283.,Goga Bitadze,3098400,3582827
284.,Trey Murphy,3053760,3531207
285.,Sterling Brown,3000000,3469042
285.,Frank Jackson,3000000,3469042
287.,Josh Green,2957520,3419920
288.,Tre Mann,2901240,3354841
289.,Andrew Nicholson,2844429,3289148
290.,Matisse Thybulle,2840160,3284212
291.,Saddiq Bey,2824320,3265895
292.,Kai Jones,2770560,3203730
293.,Brandon Clarke,2726880,3153220
294.,Precious Achiuwa,2711280,3135181
295.,Marc Gasol,2692991,3114033
296.,Jalen Johnson,2659680,3075514
297.,LaMarcus Aldridge,2641691,3054712
297.,James Johnson,2641691,3054712
297.,Ed Davis,2641691,3054712
297.,Andre Iguodala,2641691,3054712
297.,Enes Kanter,2641691,3054712
297.,Avery Bradley,2641691,3054712
297.,Carmelo Anthony,2641691,3054712
297.,Wayne Ellington,2641691,3054712
297.,Trevor Ariza,2641691,3054712
297.,Dwight Howard,2641691,3054712
297.,Udonis Haslem,2641691,3054712
297.,Markieff Morris,2641691,3054712
297.,E'Twaun Moore,2641691,3054712
297.,Paul Millsap,2641691,3054712
311.,Grant Williams,2617800,3027086
312.,Tyrese Maxey,2602920,3009880
313.,Keon Johnson,2553240,2952432
314.,Darius Bazley,2513040,2905947
315.,Trey Lyles,2500000,2890868
316.,Zeke Nnaji,2498760,2889434
317.,Isaiah Jackson,2451240,2834485
318.,Ty Jerome,2412840,2790081
319.,Andre Drummond,2401537,2777011
319.,Austin Rivers,2401537,2777011
319.,Kent Bazemore,2401537,2777011
319.,Hassan Whiteside,2401537,2777011
323.,Otto Porter,2389641,2763255
323.,Victor Oladipo,2389641,2763255
323.,Tony Snell,2389641,2763255
323.,Solomon Hill,2389641,2763255
323.,Ben McLemore,2389641,2763255
323.,Cody Zeller,2389641,2763255
329.,Usman Garuba,2353320,2721255
329.,Leandro Bolmaro,2353320,2721255
331.,Willy Hernangomez,2327220,2691075
332.,Edmond Sumner,2320000,2682726
333.,Nassir Little,2316240,2678378
334.,RJ Hampton,2303040,2663114
335.,DeAndre Bembry,2271045,2626116
336.,Josh Christopher,2259240,2612466
337.,Monta Ellis,2245400,2596462
338.,Drew Eubanks,2239820,2590009
339.,Rodney Hood,2239544,2589691
339.,Elfrid Payton,2239544,2589691
341.,Dylan Windler,2239200,2589293
342.,Immanuel Quickley,2210640,2556268
343.,John Konchar,2200000,2543964
