Ranking,Player,2019/20,2019/20(*)
151.,Joe Harris,7666667,9403634
152.,Seth Curry,7461380,9151837
153.,DeMarre Carroll,7339258,9002046
154.,Langston Galloway,7333333,8994779
154.,Doug McDermott,7333333,8994779
156.,Derrick Rose,7317074,8974837
157.,Brandon Ingram,7265485,8911560
158.,Darius Miller,7250000,8892566
158.,DJ Augustin,7250000,8892566
160.,De'Andre Hunter,7068360,8669774
161.,Josh Jackson,7059480,8658882
162.,Ersan Ilyasova,7000000,8585926
162.,Davis Bertans,7000000,8585926
164.,Jaren Jackson Jr,6927480,8496976
165.,Nemanja Bjelica,6825000,8371278
166.,Jaylen Brown,6534829,8015366
167.,Jabari Parker,6500000,7972646
168.,Ivica Zubac,6481482,7949932
169.,Darius Garland,6400920,7851118
170.,De'Aaron Fox,6392760,7841109
171.,Trae Young,6273000,7694216
172.,Montrezl Harrell,6000000,7359365
172.,Ishmael Smith,6000000,7359365
174.,Marco Belinelli,5846154,7170664
175.,Jarrett Culver,5813640,7130783
176.,Jonathan Isaac,5806440,7121952
177.,Rodney Hood,5718000,7013475
178.,Mo Bamba,5697600,6988453
179.,Trey Lyles,5500000,6746085
180.,Aron Baynes,5453280,6688780
181.,Kris Dunn,5348007,6559656
182.,Coby White,5307120,6509506
183.,Lauri Markkanen,5300400,6501263
184.,Wendell Carter,5201400,6379834
185.,Daniel Theis,5000000,6132804
185.,Luol Deng,5000000,6132804
187.,Jaxson Hayes,4862040,5963588
188.,Buddy Hield,4861207,5962566
189.,Frank Ntilikina,4855800,5955934
190.,Rodney McGruder,4807693,5896928
191.,Enes Kanter,4767000,5847016
191.,Garrett Temple,4767000,5847016
191.,Justin Holiday,4767000,5847016
191.,JaMychal Green,4767000,5847016
191.,Avery Bradley,4767000,5847016
191.,Robin Lopez,4767000,5847016
191.,Mike Scott,4767000,5847016
191.,Frank Kaminsky,4767000,5847016
191.,Richaun Holmes,4767000,5847016
191.,Ed Davis,4767000,5847016
201.,Collin Sexton,4764960,5844513
202.,Rui Hachimura,4469160,5481697
203.,Kevon Looney,4464286,5475718
204.,Dennis Smith,4463640,5474926
205.,Jamal Murray,4444746,5451751
206.,Kevin Knox,4380120,5372484
207.,Cam Reddish,4245720,5207634
208.,Zach Collins,4240200,5200863
209.,Mikal Bridges,4161000,5103720
210.,Alex Len,4160000,5102493
211.,Nicolo Melli,4102564,5032044
212.,Cameron Johnson,4033440,4947259
213.,Malik Monk,4028400,4941078
214.,Dorian Finney-Smith,4000000,4906243
214.,JaVale McGee,4000000,4906243
214.,Reggie Bullock,4000000,4906243
214.,Patrick McCaw,4000000,4906243
218.,Shai Gilgeous-Alexander,3952920,4848497
219.,PJ Washington,3831840,4699985
220.,Luke Kennard,3827160,4694244
221.,Miles Bridges,3755400,4606226
222.,Jakob Poeltl,3754885,4605595
223.,Tyler Herro,3640200,4464927
224.,Donovan Mitchell,3635760,4459481
225.,Stanley Johnson,3623000,4443830
226.,Jake Layman,3581986,4393524
227.,Thon Maker,3569643,4378384
228.,Jerome Robinson,3567720,4376026
229.,Danuel House,3540000,4342025
230.,Domantas Sabonis,3529554,4329213
231.,Boban Marjanovic,3500000,4292963
231.,TJ McConnell,3500000,4292963
231.,DeMarcus Cousins,3500000,4292963
234.,Taurean Prince,3481985,4270866
234.,Dario Saric,3481985,4270866
236.,Romeo Langford,3458400,4241938
237.,Bam Adebayo,3454080,4236639
238.,Michael Porter,3389400,4157305
239.,Denzel Valentine,3377568,4142792
240.,Juan Hernangomez,3321029,4073444
241.,Sekou Doumbouya,3285120,4029399
242.,Justin Jackson,3280920,4024248
243.,Troy Brown,3219480,3948888
244.,Yogi Ferrell,3150000,3863666
245.,Zhaire Smith,3058800,3751804
246.,Ryan Arcidiacono,3000000,3679682
246.,Quinn Cook,3000000,3679682
246.,Khem Birch,3000000,3679682
249.,Nickeil Alexander-Walker,2964840,3636556
250.,DJ Wilson,2961120,3631994
251.,Cedi Osman,2907143,3565788
252.,Donte DiVincenzo,2905800,3564140
253.,Bryn Forbes,2875000,3526362
254.,Goga Bitadze,2816760,3454927
255.,TJ Leaf,2813280,3450659
256.,Lonnie Walker,2764200,3390459
257.,Alex Caruso,2750000,3373042
258.,Malik Beasley,2731713,3350612
259.,Luka Samanic,2689920,3299350
260.,John Collins,2686560,3295229
261.,Kevin Huerter,2636280,3233558
262.,Caris LeVert,2625717,3220601
263.,Marko Guduric,2625000,3219722
264.,DeAndre Bembry,2603981,3193941
265.,Matisse Thybulle,2582160,3167176
266.,Harry Giles,2578800,3163055
267.,Vince Carter,2564753,3145825
267.,Wilson Chandler,2564753,3145825
267.,Jose Juan Barea,2564753,3145825
267.,Thabo Sefolosha,2564753,3145825
267.,Tyson Chandler,2564753,3145825
267.,Dwight Howard,2564753,3145825
267.,Rajon Rondo,2564753,3145825
267.,Jared Dudley,2564753,3145825
267.,Udonis Haslem,2564753,3145825
267.,Kyle Korver,2564753,3145825
267.,Wesley Matthews,2564753,3145825
278.,Josh Okogie,2530680,3104033
279.,Vincent Poirier,2505793,3073507
280.,Rondae Hollis-Jefferson,2500000,3066402
281.,Brandon Clarke,2478840,3040448
282.,Terrance Ferguson,2475840,3036768
283.,Grayson Allen,2429400,2979807
284.,Alfonzo McKinnie,2391985,2933915
285.,Grant Williams,2379840,2919018
286.,Jarrett Allen,2376840,2915339
287.,Pascal Siakam,2351838,2884672
288.,Skal Labissiere,2338846,2868737
289.,Chandler Hutchison,2332320,2860732
290.,Patrick Patterson,2331593,2859840
291.,Dejounte Murray,2321735,2847749
292.,Alec Burks,2320044,2845675
293.,Damian Jones,2305057,2827292
294.,Darius Bazley,2284800,2802446
295.,Ante Zizic,2281800,2798766
295.,OG Anunoby,2281800,2798766
297.,Markieff Morris,2259887,2771889
298.,Luke Kornet,2250000,2759762
299.,Aaron Holiday,2239200,2746515
300.,Ty Jerome,2193480,2690436
301.,Willie Cauley-Stein,2177483,2670815
302.,Kyle O'Quinn,2174318,2666933
303.,Austin Rivers,2174310,2666923
304.,Carmelo Anthony,2159029,2648180
305.,Anfernee Simons,2149560,2636566
306.,Nassir Little,2105520,2582548
307.,Moritz Wagner,2063520,2531033
308.,Dylan Windler,2035800,2497032
309.,Caleb Swanigan,2033160,2493794
310.,Ben McLemore,2028594,2488194
310.,Mike Muscala,2028594,2488194
310.,Michael Carter-Williams,2028594,2488194
313.,Noah Vonleh,2000000,2453121
313.,Torrey Craig,2000000,2453121
313.,Edmond Sumner,2000000,2453121
316.,Landry Shamet,1995120,2447136
317.,Mfiondu Kabengele,1977000,2424910
318.,Kyle Kuzma,1974600,2421967
319.,Jordan Poole,1964760,2409897
320.,Tony Bradley,1962360,2406954
321.,Keldon Johnson,1950600,2392529
322.,Derrick White,1948080,2389438
323.,Robert Williams,1937520,2376486
324.,Josh Hart,1934160,2372365
325.,Jacob Evans,1925880,2362209
326.,Dzanan Musa,1911600,2344693
327.,Omari Spellman,1897800,2327767
328.,Nerlens Noel,1882867,2309451
328.,James Ennis,1882867,2309451
328.,Glenn Robinson III,1882867,2309451
331.,Bruno Caboclo,1845301,2263374
331.,Shabazz Napier,1845301,2263374
333.,JR Smith,1746470,2142151
334.,JaKarr Sampson,1737145,2130714
334.,Raul Neto,1737145,2130714
334.,Mario Hezonja,1737145,2130714
334.,Emmanuel Mudiay,1737145,2130714
338.,Pat Connaughton,1723050,2113425
339.,Jahlil Okafor,1702486,2088202
340.,Rodions Kurucs,1699236,2084216
341.,Cheick Diallo,1678854,2059216
342.,Willy Hernangomez,1676735,2056617
343.,Treveon Graham,1645357,2018130
343.,Christian Wood,1645357,2018130
343.,Derrick Jones,1645357,2018130
343.,Georges Niang,1645357,2018130
347.,Shaquille Harrison,1620564,1987720
347.,Furkan Korkmaz,1620564,1987720
349.,Semi Ojeleye,1618520,1985213
349.,Dwayne Bacon,1618520,1985213
349.,Dillon Brooks,1618520,1985213
349.,Sterling Brown,1618520,1985213
349.,Frank Jackson,1618520,1985213
349.,Damyean Dotson,1618520,1985213
349.,Abdel Nader,1618520,1985213
349.,Wesley Iwundu,1618520,1985213
349.,Royce O'Neale,1618520,1985213
358.,Monte Morris,1588231,1948062
358.,Malcolm Miller,1588231,1948062
358.,Chris Boucher,1588231,1948062
361.,Mitchell Robinson,1559712,1913081
362.,Isaiah Roby,1500000,1839841
362.,Nigel Williams-Goss,1500000,1839841
364.,Brad Wanamaker,1445697,1773235
364.,Thanasis Antetokounmpo,1445697,1773235
364.,Theo Pinson,1445697,1773235
364.,Shake Milton,1445697,1773235
364.,Wenyen Gabriel,1445697,1773235
369.,Devonte Graham,1416852,1737855
369.,Jalen Brunson,1416852,1737855
369.,Keita Bates-Diop,1416852,1737855
369.,Sviatoslav Mykhailiuk,1416852,1737855
369.,Khyri Thomas,1416852,1737855
369.,Bruce Brown,1416852,1737855
369.,Alize Johnson,1416852,1737855
369.,De'Anthony Melton,1416852,1737855
369.,Kendrick Nunn,1416852,1737855
369.,Duncan Robinson,1416852,1737855
369.,Jarred Vanderbilt,1416852,1737855
369.,Kenrich Williams,1416852,1737855
369.,Hamidou Diallo,1416852,1737855
369.,Deonte Burton,1416852,1737855
369.,Melvin Frazier,1416852,1737855
369.,Ryan Broekhoff,1416852,1737855
369.,Jevon Carter,1416852,1737855
369.,Elie Okobo,1416852,1737855
369.,Gary Trent Jr,1416852,1737855
369.,Chimezie Metu,1416852,1737855
369.,Isaac Bonga,1416852,1737855
390.,Bruno Fernando,1400000,1717185
390.,Jaylen Nowell,1400000,1717185
392.,Kevin Porter,1290960,1583441
393.,Jordan McRae,1254933,1539251
394.,Carsen Edwards,1228026,1506248
395.,Cody Martin,1173310,1439136
396.,Gary Payton II,1052909,1291457
397.,Terance Mann,1000000,1226560
397.,Admiral Schofield,1000000,1226560
399.,David Nwaba,903111,1107720
400.,Javonte Green,898310,1101831
400.,Nicolas Claxton,898310,1101831
400.,Jalen McDaniels,898310,1101831
400.,Caleb Martin,898310,1101831
400.,Daniel Gafford,898310,1101831
400.,Vlatko Cancar,898310,1101831
400.,Alen Smailagic,898310,1101831
400.,Eric Paschall,898310,1101831
400.,Talen Horton-Tucker,898310,1101831
400.,KZ Okpala,898310,1101831
400.,Naz Reid,898310,1101831
400.,Ignas Brazdeikis,898310,1101831
400.,Jalen Lecque,898310,1101831
400.,DaQuan Jeffries,898310,1101831
400.,Justin James,898310,1101831
400.,Matt Thomas,898310,1101831
400.,Terence Davis,898310,1101831
400.,Dewan Hernandez,898310,1101831
400.,Miye Oni,898310,1101831
419.,Damion Lee,842327,1033165
420.,Jeff Green,840427,1030834
421.,Timothe Luwawu,837583,1027346
422.,Juwan Morgan,746054,915080
423.,Gary Clark,718765,881609
424.,Marvin Williams,604278,741183
425.,Michael Kidd-Gilchrist,595122,729953
426.,Rayjon Tucker,578573,709655
427.,Chris Clemons,563346,690978
428.,Brandon Goodwin,522738,641170
429.,Reggie Jackson,512721,628883
430.,Justin Patton,483115,592569
431.,Anzejs Pasecniks,482144,591379
432.,Chris Silva,466918,572703
433.,Troy Daniels,458439,562303
434.,Anthony Tolliver,434704,533190
435.,Joakim Noah,381360,467761
436.,Dion Waiters,375385,460432
437.,Dean Wade,375000,459960
438.,Juan Toscano-Anderson,350189,429528
438.,Ky Bowman,350189,429528
438.,Norvel Pelle,350189,429528
441.,Jamal Crawford,289803,355461
442.,Jordan Bell,250000,306640
443.,Tyler Zeller,245686,301348
444.,Trey Burke,229220,281152
445.,Jontay Porter,197933,242776
446.,Cameron Payne,196288,240759
446.,Jerian Grant,196288,240759
448.,Dragan Bender,189700,232678
449.,Mychal Mulder,187782,230326
450.,Tyler Johnson,183115,224601
450.,PJ Dozier,183115,224601
450.,Sindarius Thornwell,183115,224601
450.,Corey Brewer,183115,224601
454.,Joe Chealey,163356,200366
454.,Jaylen Adams,163356,200366
456.,Johnathan Williams,161245,197776
457.,Luguentz Dort,155647,190910
458.,Oshae Brissett,129568,158923
459.,JP Macura,106181,130237
460.,Donta Hall,101504,124500
461.,Sheldon Mac,91557,112300
461.,Chasson Randle,91557,112300
463.,Jonah Bolden,89846,110201
464.,Derrick Walton,81678,100183
465.,Charlie Brown,79568,97595
465.,Tacko Fall,79568,97595
465.,Tremont Waters,79568,97595
465.,Jeremiah Martin,79568,97595
465.,Chris Chiozza,79568,97595
465.,Raymond Spalding,79568,97595
465.,Kobi Simmons,79568,97595
465.,Max Strus,79568,97595
465.,Adam Mokoka,79568,97595
465.,Matt Mooney,79568,97595
465.,Josh Reaves,79568,97595
465.,Antonius Cleveland,79568,97595
465.,Tyler Cook,79568,97595
465.,Bol Bol,79568,97595
465.,Jordan Bone,79568,97595
465.,Louis King,79568,97595
465.,Michael Frazier,79568,97595
465.,William Howard,79568,97595
465.,Naz Long,79568,97595
465.,Brian Bowen,79568,97595
465.,Johnathan Motley,79568,97595
465.,Amir Coffey,79568,97595
465.,Devontae Cacok,79568,97595
465.,Kostas Antetokounmpo,79568,97595
465.,John Konchar,79568,97595
465.,Yuta Watanabe,79568,97595
465.,Kyle Alexander,79568,97595
465.,Gabe Vincent,79568,97595
465.,Cam Reynolds,79568,97595
465.,Frank Mason,79568,97595
465.,Kelan Martin,79568,97595
465.,Jordan McLaughlin,79568,97595
465.,Zylan Cheatham,79568,97595
465.,Josh Gray,79568,97595
465.,Kenny Wooten,79568,97595
465.,Jared Harper,79568,97595
465.,Kevin Hervey,79568,97595
465.,Vic Law,79568,97595
465.,BJ Johnson,79568,97595
465.,Marial Shayok,79568,97595
465.,Tariq Owens,79568,97595
465.,Moses Brown,79568,97595
465.,Jaylen Hoard,79568,97595
465.,Kyle Guy,79568,97595
465.,Drew Eubanks,79568,97595
465.,Quinndary Weatherspoon,79568,97595
465.,Paul Watson,79568,97595
465.,Jarrell Brantley,79568,97595
465.,Justin Wright-Foreman,79568,97595
465.,Garrison Mathews,79568,97595
515.,Malik Newman,65978,80926
