Ranking,Player,2019/20,2019/20(*)
1.,Stephen Curry,40231758,49346703
2.,Russell Westbrook,38506482,47230546
2.,Chris Paul,38506482,47230546
4.,James Harden,38199000,46853401
4.,John Wall,38199000,46853401
6.,LeBron James,37436858,45918587
7.,Kevin Durant,37199000,45626840
8.,Blake Griffin,34449964,42254980
9.,Kyle Lowry,33296296,40839936
10.,Paul George,33005556,40483325
11.,Kemba Walker,32742000,40160058
11.,Klay Thompson,32742000,40160058
11.,Kawhi Leonard,32742000,40160058
11.,Jimmy Butler,32742000,40160058
11.,Tobias Harris,32742000,40160058
16.,Gordon Hayward,32700690,40109389
17.,Mike Conley,32511623,39877487
18.,Kyrie Irving,31742000,38933497
19.,Khris Middleton,30603448,37536994
20.,Paul Millsap,30350000,37226124
21.,Damian Lillard,29802321,36554362
22.,Kevin Love,28942830,35500144
23.,Nikola Vucevic,28000000,34343706
23.,Al Horford,28000000,34343706
25.,DeMar DeRozan,27739975,34024769
26.,CJ McCollum,27556959,33800289
27.,Nikola Jokic,27504630,33736104
27.,Andrew Wiggins,27504630,33736104
27.,Joel Embiid,27504630,33736104
30.,Kristaps Porzingis,27285000,33466715
30.,Karl-Anthony Towns,27285000,33466715
30.,D'Angelo Russell,27285000,33466715
30.,Devin Booker,27285000,33466715
34.,Otto Porter,27250576,33424492
35.,Anthony Davis,27093019,33231238
36.,Andre Drummond,27093018,33231237
36.,Hassan Whiteside,27093018,33231237
36.,Bradley Beal,27093018,33231237
39.,Jrue Holiday,26131111,32051400
40.,LaMarcus Aldridge,26000000,31890584
41.,Giannis Antetokounmpo,25842697,31697642
41.,Steven Adams,25842697,31697642
43.,Marc Gasol,25595700,31394685
44.,Nicolas Batum,25565217,31357296
45.,Rudy Gobert,25258427,30981000
46.,Chandler Parsons,25102512,30789760
47.,Harrison Barnes,24147727,29618658
48.,Serge Ibaka,23271604,28544040
49.,Danilo Gallinari,22615559,27739361
50.,Victor Oladipo,21000000,25757779
51.,Tim Hardaway Jr,20025127,24562038
52.,Malcolm Brogdon,20000000,24531218
53.,Terry Rozier,19894737,24402107
54.,Aaron Gordon,19863636,24363960
55.,Zach LaVine,19500000,23917938
56.,Kent Bazemore,19269663,23635416
57.,Goran Dragic,19217900,23571925
58.,Jeff Teague,19000000,23304657
59.,Evan Turner,18606556,22822074
60.,Tristan Thompson,18539130,22739372
60.,Draymond Green,18539130,22739372
62.,Gary Harris,18189286,22310267
63.,Myles Turner,18000000,22078097
63.,Julius Randle,18000000,22078097
65.,Derrick Favors,17650000,21648800
66.,Andre Iguodala,17185185,21078676
67.,Evan Fournier,17150000,21035520
68.,Bismack Biyombo,17000000,20851536
68.,Bojan Bogdanovic,17000000,20851536
70.,Clint Capela,16896552,20724650
71.,Gorgui Dieng,16229213,19906118
72.,Ricky Rubio,16200000,19870287
73.,Jonas Valanciunas,16000000,19624975
74.,Brandon Knight,15643750,19188012
75.,Eric Bledsoe,15625000,19165014
75.,Kelly Oubre,15625000,19165014
77.,Dennis Schroeder,15500000,19011694
78.,Ian Mahinmi,15450051,18950429
79.,James Johnson,15349400,18826974
80.,Marcus Morris,15000000,18398414
80.,Bobby Portis,15000000,18398414
82.,Danny Green,14634147,17949673
83.,Rudy Gay,14500000,17785133
84.,Cody Zeller,14471910,17750679
85.,Eric Gordon,14057730,17242662
86.,Mason Plumlee,14041096,17222259
87.,JJ Redick,13486300,16541768
88.,Jordan Clarkson,13437500,16481912
89.,Dewayne Dedmon,13333334,16354146
90.,Solomon Hill,13290395,16301479
91.,Justise Winslow,13000000,15945292
92.,Thaddeus Young,12900000,15822636
93.,Will Barton,12776786,15671506
94.,Courtney Lee,12759670,15650512
95.,Larry Nance Jr,12727273,15610775
96.,Patrick Mills,12678571,15551040
97.,Kelly Olynyk,12667885,15537932
98.,Marcus Smart,12553571,15397719
99.,Terrence Ross,12500000,15332011
100.,Patrick Beverley,12345680,15142728
101.,Trevor Ariza,12200000,14964043
102.,Brook Lopez,12093024,14832830
103.,Jusuf Nurkic,12000000,14718731
103.,Cory Joseph,12000000,14718731
105.,Joe Ingles,11454546,14049698
106.,Tony Snell,11392857,13974033
107.,Robert Covington,11301219,13861633
108.,Meyers Leonard,11286515,13843598
109.,TJ Warren,11060000,13565764
110.,Moe Harkless,11011234,13505949
111.,Andre Roberson,10740740,13174172
112.,Spencer Dinwiddie,10605600,13008414
113.,Jeremy Lamb,10500000,12878889
114.,Dwight Powell,10259375,12583748
115.,George Hill,10133907,12429854
116.,Josh Richardson,10116576,12408597
116.,Norman Powell,10116576,12408597
118.,Tyus Jones,10116000,12407890
119.,Tomas Satoransky,10000000,12265609
120.,DeAndre Jordan,9881598,12120382
121.,Zion Williamson,9757440,11968094
122.,Markelle Fultz,9745200,11953081
123.,John Henson,9732396,11937376
124.,Matthew Dellavedova,9607500,11784184
125.,Dante Exum,9600000,11774985
126.,Deandre Ayton,9562920,11729504
127.,Delon Wright,9473684,11620050
128.,Jerami Grant,9346153,11463626
128.,Fred VanVleet,9346153,11463626
130.,Al-Farouq Aminu,9258000,11355501
131.,Kyle Anderson,9073050,11128648
132.,Taj Gibson,9000000,11039048
133.,Ja Morant,8730240,10708171
134.,Lonzo Ball,8719320,10694777
135.,E'Twaun Moore,8664928,10628062
136.,Marvin Bagley,8556120,10494602
137.,Bogdan Bogdanovic,8529386,10461811
138.,PJ Tucker,8349039,10240605
139.,Cristiano Felicio,8156500,10004444
140.,Kentavious Caldwell-Pope,8139282,9983325
141.,Ben Simmons,8113929,9952228
142.,Maxi Kleber,8000000,9812487
142.,Louis Williams,8000000,9812487
142.,Elfrid Payton,8000000,9812487
142.,Wayne Ellington,8000000,9812487
142.,Thomas Bryant,8000000,9812487
147.,RJ Barrett,7839960,9616188
148.,Jayson Tatum,7830000,9603972
149.,Jae Crowder,7815533,9586227
150.,Luka Doncic,7683360,9424109
