trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
16,2024-02-08,Memphis Grizzlies,Incoming,Player,Yuta Watanabe,29,SF,,,,,"Salary: $2,346,614"
16,2024-02-08,Memphis Grizzlies,Incoming,Player,Chimezie Metu,26,C,,,,,"Salary: $2,019,706"
16,2024-02-08,Memphis Grizzlies,Outgoing,Player,David Roddy,22,PF,,,,,
16,2024-02-08,Memphis Grizzlies,Outgoing,Player,Vanja Marinkovic,27,SG,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Cap Space,,,,,,,,3580000,-$3.58M CAP SPACE
16,2024-02-08,Phoenix Suns,Incoming,Player,Royce O'Neale,30,SF,,,,,"Salary: $9,500,000"
16,2024-02-08,Phoenix Suns,Incoming,Player,David Roddy,22,PF,,,,,"Salary: $2,718,240"
16,2024-02-08,Phoenix Suns,Outgoing,Player,Yuta Watanabe,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Player,Chimezie Metu,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Player,Keita Bates-Diop,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Player,Jordan Goodwin,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Pick,,,,2026,2,,,
16,2024-02-08,Phoenix Suns,Outgoing,Pick,,,,2028,2,,,
16,2024-02-08,Phoenix Suns,Outgoing,Pick,,,,2029,2,,,
16,2024-02-08,Brooklyn Nets,Incoming,Cap Space,,,,,,,,5230000,+$5.23M CAP SPACE
16,2024-02-08,Brooklyn Nets,Incoming,Player,Keita Bates-Diop,28,SF,,,,,"Salary: $2,346,614"
16,2024-02-08,Brooklyn Nets,Incoming,Player,Jordan Goodwin,25,PG,,,,,"Salary: $1,927,896"
16,2024-02-08,Brooklyn Nets,Incoming,Player,Vanja Marinkovic,27,SG,,,,,
16,2024-02-08,Brooklyn Nets,Incoming,Pick,,,,2026,2,least favorable of DET/MIL/ORL,,
16,2024-02-08,Brooklyn Nets,Incoming,Pick,,,,2028,2,MEM pick,,
16,2024-02-08,Brooklyn Nets,Incoming,Pick,,,,2029,2,MEM pick,,
16,2024-02-08,Brooklyn Nets,Outgoing,Player,Royce O'Neale,,,,,,,"Salary: $9,500,000"
17,2024-02-08,Milwaukee Bucks,Incoming,Cap Space,,,,,,,,2020000,+$2.02M CAP SPACE
17,2024-02-08,Milwaukee Bucks,Incoming,Player,Dimitrios Agravanis,29,PF,,,,,,
17,2024-02-08,Sacramento Kings,Outgoing,Cap Space,,,,,,,,2020000,-$2.02M CAP SPACE
17,2024-02-08,Sacramento Kings,Incoming,Player,Robin Lopez,35,C,,,,,"Salary: $2,019,706"
17,2024-02-08,Sacramento Kings,Incoming,Cash,,,,,,,,,Cash
18,2024-02-08,Denver Nuggets,Incoming,Cash,,,,,,2680000,,$2.68 Million
18,2024-02-08,LA Clippers,Incoming,Player,Ismael Kamagate,23,C,,,,,,
19,2024-02-08,Golden State Warriors,Incoming,Pick,,,,2024,2,,,
19,2024-02-08,Indiana Pacers,Incoming,Player,Cory Joseph,32,PG,,,,,,
19,2024-02-08,Indiana Pacers,Incoming,Cash,,,,,,5800000,,$5.8 Million
19,2024-02-08,Indiana Pacers,Incoming,Pick,,,,2025,2,CHA pick,,
20,2024-02-08,Boston Celtics,Incoming,Cap Space,,,,,,,,2020000,+$2.02M CAP SPACE
20,2024-02-08,Boston Celtics,Incoming,Cash,,,,,,3000000,,$3 million
20,2024-02-08,Boston Celtics,Incoming,Pick,,,,2027,2,"least favorable of POR/NOP, top-55 protected",,
20,2024-02-08,Portland Trail Blazers,Outgoing,Cap Space,,,,,,,,2020000,-$2.02M CAP SPACE
20,2024-02-08,Portland Trail Blazers,Incoming,Player,Dalano Banton,24,PG,,,,,"Salary: $2,019,706"
21,2024-02-08,Boston Celtics,Outgoing,Cap Space,,,,,,,,4020000,-$4.02M CAP SPACE
21,2024-02-08,Boston Celtics,Incoming,Player,Jaden Springer,21,PG,,,,,"Salary: $4,018,363"
21,2024-02-08,Philadelphia 76ers,Incoming,Cap Space,,,,,,,,4020000,+$4.02M CAP SPACE
21,2024-02-08,Philadelphia 76ers,Incoming,Pick,,,,2024,2,most favorable of CHI/NOP,,
22,2024-02-08,Indiana Pacers,Outgoing,Cap Space,,,,,,,,550000,-$0.55M CAP SPACE
22,2024-02-08,Indiana Pacers,Incoming,Player,Doug McDermott,32,SF,,,,,"Salary: $13,750,000"
22,2024-02-08,Indiana Pacers,Incoming,Player,Furkan Korkmaz,26,SG,,,,,"Salary: $5,370,370"
22,2024-02-08,Indiana Pacers,Incoming,Pick,,,,2024,2,TOR pick,,
22,2024-02-08,Indiana Pacers,Incoming,Pick,,,,2029,2,LAC pick,,
22,2024-02-08,Indiana Pacers,Incoming,Pick,,,,2029,2,POR pick,,
22,2024-02-08,Indiana Pacers,Outgoing,Player,Buddy Hield,31,SG,,,,,"Salary: $18,568,183"
22,2024-02-08,Indiana Pacers,Outgoing,Pick,,,,2029,2,,,
22,2024-02-08,Philadelphia 76ers,Incoming,Cap Space,,,,,,,,3230000,+$3.23M CAP SPACE
22,2024-02-08,Philadelphia 76ers,Incoming,Player,Buddy Hield,31,SG,,,,,"Salary: $18,568,183"
22,2024-02-08,Philadelphia 76ers,Outgoing,Player,Furkan Korkmaz,,,,,,,
22,2024-02-08,Philadelphia 76ers,Outgoing,Pick,,,,2024,2,,,
22,2024-02-08,Philadelphia 76ers,Outgoing,Pick,,,,2029,2,,,
22,2024-02-08,Philadelphia 76ers,Outgoing,Pick,,,,2029,2,,,
22,2024-02-08,Philadelphia 76ers,Outgoing,Player,Marcus Morris Sr.,34,SF,,,,,
22,2024-02-08,San Antonio Spurs,Outgoing,Cap Space,,,,,,,,2680000,-$2.68M CAP SPACE
22,2024-02-08,San Antonio Spurs,Incoming,Player,Marcus Morris Sr.,34,SF,,,,,"Salary: $16,427,693"
22,2024-02-08,San Antonio Spurs,Incoming,Cash,,,,,,,,,Cash
22,2024-02-08,San Antonio Spurs,Incoming,Pick,,,,2029,2,,,
22,2024-02-08,San Antonio Spurs,Outgoing,Player,Doug McDermott,,,,,,,"Salary: $13,750,000"
23,2024-02-08,Milwaukee Bucks,Outgoing,Cap Space,,,,,,,,1180000,-$1.18M CAP SPACE
23,2024-02-08,Milwaukee Bucks,Incoming,Player,Patrick Beverley,35,PG,,,,,"Salary: $3,196,448"
23,2024-02-08,Philadelphia 76ers,Incoming,Cap Space,,,,,,,,1180000,+$1.18M CAP SPACE
23,2024-02-08,Philadelphia 76ers,Incoming,Player,Cameron Payne,29,PG,,,,,"Salary: $2,019,706"
23,2024-02-08,Philadelphia 76ers,Incoming,Pick,,,,2027,2,MIL pick,,
24,2024-02-08,Dallas Mavericks,Outgoing,Cap Space,,,,,,,,440000,-$0.44M CAP SPACE
24,2024-02-08,Dallas Mavericks,Incoming,Player,PJ Washington,25,PF,,,,,"Salary: $16,847,826"
24,2024-02-08,Dallas Mavericks,Incoming,Pick,,,,2024,2,,,
24,2024-02-08,Dallas Mavericks,Incoming,Pick,,,,2028,2,,,
24,2024-02-08,Charlotte Hornets,Incoming,Cap Space,,,,,,,,440000,+$0.44M CAP SPACE
24,2024-02-08,Charlotte Hornets,Incoming,Player,Grant Williams,25,PF,,,,,"Salary: $12,405,000"
