metrica,shapiro_p,is_normal,outliers_iqr,spearman_rho_vs_perf,spearman_p_vs_perf
desvio_padrao,1.1521980251078465e-18,False,37,0.17549882872088132,0.0031062795326421157
coeficiente_variacao,5.442891494551399e-05,False,11,-0.043656852340705835,0.46525869036475864
razao_top1_bottom1,7.942116857745258e-30,False,76,0.00566357408140591,0.9245643158658418
proporcao_top3,0.002993121031679412,False,11,0.04557413546009284,0.4458709789170122
gini_simples,0.055746587458106484,True,5,-0.043306358217569216,0.46885263174815683
gini_ponderado_minutos,0.00044120912037989564,False,13,-0.18924619961413547,0.0014091606693463759
