k,inertia,pct_drop_wcss,silhouette,davies_bouldin,cluster_sizes
2,18186.18695406208,,0.11379761242117287,2.507279616686878,"235,155"
3,17170.45203437888,5.585200032579259,0.08379694450967212,2.94696740224964,"142,137,111"
4,16411.80465721021,4.418330837474145,0.07337706155076473,2.739146396102691,"117,92,86,95"
5,15981.537086066706,2.6216956643733527,0.06306655588873218,2.8926279017338357,"73,82,61,84,90"
6,15639.29843180385,2.1414626917283934,0.060291990720623655,3.030738158263605,"81,44,62,69,53,81"
7,15344.649790114385,1.8840272341774145,0.05509638523343616,2.9714870371805517,"52,60,30,76,70,57,45"
8,15035.492904211846,2.014753612048611,0.05232579793861156,3.0408506568725047,"46,59,47,47,49,41,43,58"
9,14802.644195536126,1.5486602944057282,0.051020790704532304,2.8685605396582896,"46,43,37,53,53,34,50,44,30"
10,14593.244348869108,1.414611091781593,0.05183385114657113,2.8632279720538256,"43,37,50,33,47,31,42,34,46,27"
