team_id,season_end_year,gini_pre,gini_pos,delta_gini,delta_adjusted_perf,delta_raw_net_rating,n_trades,trade_magnitude,team_abbreviation
1610612737,2013,0.39585496855834046,0.45899704284241083,0.06314207428407037,-0.6439587619494764,-0.5034615384615384,2,2,ATL
1610612737,2014,0.3940552262413296,0.430245499071914,0.0361902728305844,-0.2313050667362888,-0.9899154196486657,1,1,ATL
1610612737,2015,0.333622057867923,0.4053119597820094,0.07168990191408642,-3.9914939977701915,-3.3015873015873005,1,0,ATL
1610612737,2016,0.40649895752191534,0.37617771848234205,-0.03032123903957329,4.250243263754337,3.057777777777778,1,3,ATL
1610612737,2017,0.4197245921976872,0.42548556498981793,0.005760972792130725,2.239865120850941,-1.1686813186813187,2,1,ATL
1610612737,2018,0.4541094280993083,0.5347693685304635,0.08065994043115521,-3.3381256245667172,-4.343650793650793,2,2,ATL
1610612737,2019,0.4423670340511082,0.45337924987865896,0.011012215827550742,3.766388796864682,2.6808067664281072,2,2,ATL
1610612737,2020,0.3428011222434195,0.4250236930077703,0.0822225707643508,5.715877579054077,4.304102564102564,5,8,ATL
1610612737,2021,0.4118552632844723,0.453270841578822,0.04141557829434972,0.781852396321345,1.6857142857142853,1,1,ATL
1610612737,2022,0.3548865655470458,0.29731831057382085,-0.05756825497322493,2.8328221819447923,3.2775132275132273,1,1,ATL
1610612737,2023,0.4282354253590759,0.4155576070286374,-0.012677818330438462,2.0750658691338595,2.252390572390573,2,4,ATL
1610612737,2025,0.34415390316247296,0.417424651661531,0.07327074849905801,3.449281909007063,5.030170777988614,3,5,ATL
1610612738,2015,0.3883214316139768,0.3448328312531169,-0.043488600360859886,5.7001856420639445,4.989437065148639,2,3,BOS
1610612738,2019,0.45162703981827057,0.4511090982713277,-0.0005179415469428461,-4.35165356707927,-7.30079365079365,1,0,BOS
1610612738,2021,0.49516601049674225,0.46374309094813115,-0.031422919548611095,3.0896044188239506,2.0701298701298705,2,5,BOS
1610612738,2022,0.3551396428406619,0.36824154193652503,0.013101899095863123,12.123138135420172,8.796978021978024,4,5,BOS
1610612738,2023,0.3408550896140141,0.3689687002915727,0.028113610677558576,0.4369915667332913,1.3693602693602687,1,1,BOS
1610612738,2024,0.40746695529253807,0.4589666554624092,0.051499700169871154,4.569319388942644,5.197027197975965,3,2,BOS
1610612738,2025,0.37439400091704855,0.4253670066854287,0.05097300576838015,-0.7883785195172548,1.1876660341555976,1,0,BOS
1610612739,2014,0.30522656037422013,0.34044211298995475,0.03521555261573461,4.3339218425730905,3.7396632996632997,1,1,CLE
1610612739,2016,0.4082346555316221,0.38583691915331975,-0.022397736378302335,1.6479713836970076,-0.09474358974358843,2,1,CLE
1610612739,2017,0.3928605758091631,0.34978394964345805,-0.04307662616570507,-8.440853080006393,-7.136632996632998,1,0,CLE
1610612739,2018,0.4064571421884102,0.45625237152049314,0.04979522933208291,3.595342168253863,4.057319453480806,3,9,CLE
1610612739,2019,0.44620931519194273,0.4741896279234614,0.027980312731518686,4.311197595746993,3.5398148148148145,2,7,CLE
1610612739,2020,0.4204558321337345,0.4498848558156926,0.0294290236819581,3.940487024569581,4.494230769230769,1,1,CLE
1610612739,2021,0.4276190527139182,0.50936820698363,0.08174915426971174,-3.6594477006946917,-1.6821428571428552,1,1,CLE
1610612739,2022,0.4034660545972184,0.4091496484769611,0.00568359387974271,-7.707945332349584,-7.935084175084176,1,1,CLE
1610612739,2025,0.3298189027441216,0.30413314605952224,-0.02568575668459938,-0.07994716283218928,-2.003352308665402,1,1,CLE
1610612740,2014,0.44210426462677055,0.5530406633131615,0.11093639868639094,-2.5080885904511607,-3.353350683148991,1,1,NOH
1610612740,2015,0.38813344840128483,0.4550755891545045,0.06694214075321969,1.5115552959266738,2.1588809368900455,2,6,NOH
1610612740,2016,0.3507278423880237,0.4553750275093895,0.10464718512136584,-2.4869003027609002,-2.1811320754716976,1,1,NOH
1610612740,2017,0.4263235258226701,0.4387546701382363,0.012431144315566245,3.1760842235537363,3.7321403508771924,1,2,NOH
1610612740,2018,0.4234048235844712,0.46600598278884964,0.04260115920437846,2.4360824599339606,4.411125569290826,2,2,NOH
1610612740,2019,0.4685376631289436,0.5926844826653788,0.12414681953643514,-6.9638509019988195,-7.816700336700336,2,4,NOH
1610612740,2021,0.38362393430238884,0.45430226496580794,0.07067833066341911,-2.215276276000588,-1.1967923015236575,1,2,NOH
1610612740,2022,0.4826524452994345,0.542910541472821,0.06025809617338651,4.335938224193266,6.323544973544973,1,3,NOH
1610612740,2023,0.5103192697946917,0.37689263329765255,-0.13342663649703912,-2.1249082407558166,-0.33859890109890123,1,1,NOH
1610612740,2024,0.433139746211445,0.3666633117703513,-0.06647643444109375,-0.4965930762242057,-0.3319418089816555,1,0,NOH
1610612740,2025,0.40300070374040275,0.5337260930412902,0.1307253893008874,-2.8345571910807656,-1.665211891208095,2,2,NOH
1610612741,2014,0.37688791454561443,0.36142038448837766,-0.015467530057236778,6.331070019665481,5.68035133376708,1,1,CHI
1610612741,2016,0.45900607761900236,0.5050012329200432,0.04599515530104081,-1.0884407350499843,-2.1889743589743595,1,2,CHI
1610612741,2017,0.46569141097368116,0.5246828984130804,0.05899148743939919,2.3261511845753646,3.588912280701754,1,3,CHI
1610612741,2018,0.4391185796897985,0.3938460558351293,-0.04527252385466918,-3.5867609289451146,-3.5910214703968766,3,5,CHI
1610612741,2019,0.4954251968678858,0.5335305690959748,0.038105372228089074,2.9518734258322876,2.3503968253968255,3,4,CHI
1610612741,2021,0.3357543286243151,0.2894936840328505,-0.04626064459146462,1.9898663696355507,-0.5206094627105056,2,8,CHI
1610612741,2025,0.41588325878492094,0.26780572676599834,-0.1480775320189226,2.822242535525407,5.295384615384615,1,4,CHI
1610612742,2013,0.5335727309204704,0.5522784975455289,0.018705766625058518,3.423119909168748,1.2641509433962268,1,1,DAL
1610612742,2017,0.46173477017912556,0.5598029068235152,0.09806813664438963,-0.4163914339525405,-2.4049450549450557,1,1,DAL
1610612742,2018,0.4891492724090214,0.5953359100928843,0.10618663768386294,-3.26908487763052,-2.8080687830687827,1,2,DAL
1610612742,2019,0.4452409747300693,0.4603498099598856,0.01510883522981632,-5.097832939298485,-5.668379960962914,2,6,DAL
1610612742,2020,0.28240992054284786,0.32333349464523387,0.04092357410238601,-0.4271712080589132,-2.8394607843137245,2,2,DAL
1610612742,2021,0.36559681617627793,0.3469836492149051,-0.01861316696137283,0.6395898888831397,1.2333333333333327,1,2,DAL
1610612742,2022,0.3850625564959125,0.4356033075932013,0.05054075109728884,-0.09221213252402016,-0.2659259259259259,1,2,DAL
1610612742,2023,0.30524807490672545,0.5219156446155918,0.21666756970886636,-2.9289506738699895,-2.121428571428571,1,2,DAL
1610612742,2024,0.5146040730872509,0.4834329750985762,-0.03117109798867468,6.532958679754011,6.026818469323213,3,2,DAL
1610612742,2025,0.41233726167982043,0.4287644449687146,0.016427183288894143,-7.40601005109706,-7.9312460468058195,2,6,DAL
1610612743,2014,0.3697121690183325,0.40865791860065503,0.03894574958232255,-1.621344855708784,-1.3351282051282054,2,3,DEN
1610612743,2015,0.31457539289376446,0.4098657014245207,0.09529030853075626,-1.9188344026043342,-0.5348731294729987,2,3,DEN
1610612743,2016,0.4104149361334535,0.43311905258139194,0.02270411644793846,-1.6520678234896495,-0.03783068783068755,1,2,DEN
1610612743,2017,0.3603156278817635,0.4113147398731566,0.050999111991393065,7.048105159182699,6.070741758241758,2,2,DEN
1610612743,2018,0.4604515673975741,0.5053563495359545,0.04490478213838045,0.2229149014943444,1.396693121693122,1,2,DEN
