trade_ids,team_id,team_abbreviation,season_end_year,trade_date,n_players_acquired,trade_classification,min_deltaP_acquired,games_pre,games_post,WPA_time_pre,WPA_time_post,WPA_rate_pre,WPA_rate_post,delta_WPA_time,conference,conf_rank_pre_trade,win_pct_pre_trade,objetivo_sazonal,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
33,1610612739,CLE,2014,2014-01-06,1,Preenche Lacuna,-0.007074740962615585,34,48,-4.140000000000001,1.8399999999999999,-0.12176470588235296,0.03833333333333333,0.16009803921568627,East,13,0.3235294117647059,Tanking,2,Reconstrução,1,Defensivo
20,1610612739,CLE,2014,2014-02-20,1,Preenche Lacuna,-0.0074107806755306736,55,27,-3.5300000000000002,1.2300000000000002,-0.06418181818181819,0.045555555555555564,0.10973737373737374,East,10,0.4,Intermediario,0,Ofensivo,1,Defensivo
29,1610612739,CLE,2015,2015-01-05,2,Preenche Lacuna,-0.014514728443456432,34,48,2.63,7.790000000000001,0.07735294117647058,0.1622916666666667,0.08493872549019611,East,5,0.5588235294117647,Contender,1,Defensivo,3,Elite
36,1610612739,CLE,2015,2015-01-07,1,Redundante,0.0023595818001833336,35,47,2.3700000000000006,8.05,0.06771428571428573,0.17127659574468088,0.10356231003039515,East,5,0.5428571428571428,Contender,1,Defensivo,3,Elite
19,1610612739,CLE,2016,2016-02-18,1,Redundante,0.0021613570678973813,52,30,7.880000000000001,5.180000000000001,0.15153846153846157,0.1726666666666667,0.021128205128205124,East,1,0.7307692307692307,Contender,3,Elite,3,Elite
37,1610612739,CLE,2017,2017-01-07,1,Redundante,0.0009542208195604529,35,47,8.969999999999999,13.96,0.25628571428571423,0.2970212765957447,0.04073556231003045,East,1,0.7714285714285715,Contender,3,Elite,3,Elite
"81,82",1610612739,CLE,2018,2018-02-08,4,Preenche Lacuna,-0.004115596816011497,53,29,15.3,10.48,0.28867924528301886,0.3613793103448276,0.07270006506180876,East,3,0.5849056603773585,Contender,1,Defensivo,3,Elite
45,1610612739,CLE,2019,2018-11-28,1,Preenche Lacuna,-0.034854285557566304,19,63,-3.7567,-13.7255,-0.19772105263157894,-0.21786507936507937,-0.020144026733500436,East,15,0.21052631578947367,Tanking,2,Reconstrução,2,Reconstrução
44,1610612739,CLE,2019,2018-12-07,2,Preenche Lacuna,-0.04035479005321362,24,58,-5.0249999999999995,-12.4572,-0.20937499999999998,-0.21477931034482758,-0.005404310344827606,East,13,0.20833333333333334,Tanking,2,Reconstrução,2,Reconstrução
37,1610612739,CLE,2019,2019-02-04,2,Preenche Lacuna,-0.017335206523400593,53,29,-12.9906,-4.491599999999999,-0.2451056603773585,-0.15488275862068962,0.09022290175666889,East,14,0.20754716981132076,Tanking,2,Reconstrução,2,Reconstrução
26,1610612739,CLE,2019,2019-02-07,2,Preenche Lacuna,-0.022759042283438585,54,28,-13.136800000000001,-4.345400000000001,-0.2432740740740741,-0.15519285714285716,0.08808121693121693,East,14,0.2037037037037037,Tanking,2,Reconstrução,2,Reconstrução
34,1610612739,CLE,2020,2019-12-23,1,Redundante,0.004304374079712081,29,36,-5.6715,-7.5031,-0.19556896551724137,-0.20841944444444443,-0.012850478927203063,East,13,0.27586206896551724,Tanking,2,Reconstrução,2,Reconstrução
21,1610612739,CLE,2020,2020-02-06,1,Redundante,0.004794286601247916,52,13,-11.9182,-1.2563999999999997,-0.22919615384615386,-0.09664615384615383,0.13255000000000003,East,15,0.25,Tanking,2,Reconstrução,0,Ofensivo
26,1610612739,CLE,2021,2021-03-25,1,Redundante,0.0169156608405077,44,28,-5.056004575,-8.051,-0.11490919488636364,-0.2875357142857143,-0.17262651939935064,East,12,0.38636363636363635,Tanking,2,Reconstrução,2,Reconstrução
35,1610612739,CLE,2022,2022-01-03,1,Preenche Lacuna,-0.014072877756323494,37,45,5.489999999999999,11.3,0.14837837837837836,0.2511111111111111,0.10273273273273276,East,5,0.5675675675675675,Contender,1,Defensivo,1,Defensivo
