trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
41,1610612741,CHI,2019,2019-01-07,203487,Michael Carter-Williams,Guards,0.0001694215331711715,0.03347186108005137,-0.0333024395468802,Preenche Lacuna,0.0030047167956972487,-0.005985671289005373,Melhorou,3,Reconstrução,3,Reconstrução
40,1610612741,CHI,2019,2019-01-22,2546,Carmelo Anthony,Forwards,0.005417246599844802,0.004875725917944788,0.0005415206819000141,Redundante,-0.0009546603632878432,-0.012631855636984601,N/A (nao era lacuna),3,Reconstrução,1,Ofensivo
38,1610612741,CHI,2019,2019-02-01,1627789,Timothe Luwawu-Cabarrot,Guards,0.0018976561106598489,0.022295121261489116,-0.020397465150829266,Preenche Lacuna,-0.006017488487608011,-0.00968550632146538,Melhorou,3,Reconstrução,1,Ofensivo
35,1610612741,CHI,2019,2019-02-06,203490,Otto Porter Jr.,Forwards,0.0047144337262251396,0.001290178777678038,0.003424254948547102,Redundante,-0.0036571876591339537,-0.018090143980277206,N/A (nao era lacuna),3,Reconstrução,1,Ofensivo
14,1610612741,CHI,2021,2021-03-25,202696,Nikola Vucevic,Centers,0.043511640961040154,0.002263604744997538,0.041248036216042616,Redundante,0.004079786630137192,0.005870297597393293,N/A (nao era lacuna),0,Defensivo,0,Defensivo
14,1610612741,CHI,2021,2021-03-25,202329,Al-Farouq Aminu,Forwards,0.01548048743872749,0.014414560851604113,0.001065926587123376,Redundante,0.03831128101949996,0.017405448327461492,N/A (nao era lacuna),0,Defensivo,0,Defensivo
15,1610612741,CHI,2021,2021-03-25,1628464,Daniel Theis,Centers,0.043511640961040154,0.002263604744997538,0.041248036216042616,Redundante,0.004079786630137192,0.005870297597393293,N/A (nao era lacuna),0,Defensivo,0,Defensivo
15,1610612741,CHI,2021,2021-03-25,1628972,Troy Brown Jr.,Guards,-0.035736314446279276,0.006395762686680525,-0.0421320771329598,Preenche Lacuna,-0.007908309028947503,-0.023868419652360875,Melhorou,0,Defensivo,0,Defensivo
15,1610612741,CHI,2021,2021-03-25,1629750,Javonte Green,Guards,-0.035736314446279276,0.006395762686680525,-0.0421320771329598,Preenche Lacuna,-0.007908309028947503,-0.023868419652360875,Melhorou,0,Defensivo,0,Defensivo
39,1610612742,DAL,2019,2019-01-31,203501,Tim Hardaway Jr.,Guards,-0.04007316904811207,0.028873930938496398,-0.06894709998660847,Preenche Lacuna,-0.023016177702368933,-0.03132253553342733,Melhorou,2,Elite,3,Reconstrução
