team_id,team_abbreviation,season_end_year,posicao,WPA_pos,MIN_pos,RCP_pos,RCP_pos_bar,stable,muP,deltaP,cluster
1610612737,ATL,2019,Centers,-11.4928,3511.7833333333333,1.3036889151050413,0.01589864530615904,True,-0.004096990372331051,0.019995635678490088,2
1610612737,ATL,2019,Forwards,-5.471299999999999,8462.866666666667,0.6206384137211307,0.007568761142940619,True,0.003206629778064639,0.00436213136487598,2
1610612737,ATL,2019,Guards,8.1485,7880.516666666666,-0.9243273288261719,-0.011272284497880144,True,0.013085482545485925,-0.02435776704336607,2
1610612751,BKN,2019,Centers,-18.273699999999998,3685.25,18.295654785742872,0.22311774128954723,False,-0.004096990372331051,0.22721473166187828,2
1610612751,BKN,2019,Forwards,-3.3386,8710.433333333334,3.3426111333600286,0.040763550406829614,False,0.003206629778064639,0.03755692062876498,2
1610612751,BKN,2019,Guards,20.6135,7584.433333333333,-20.6382659191029,-0.2516861697451573,False,0.013085482545485925,-0.2647716522906432,2
1610612738,BOS,2019,Centers,-9.5449981401,3988.75,-1.0622556357425095,-0.012954337021250116,True,-0.004096990372331051,-0.008857346648919065,1
1610612738,BOS,2019,Forwards,2.2864923972,7329.583333333333,0.2544620123920374,0.003103195273073627,True,0.003206629778064639,-0.00010343450499101202,1
1610612738,BOS,2019,Guards,16.2441,8461.916666666666,1.807793623350472,0.022046263699396,True,0.013085482545485925,0.008960781153910075,1
1610612766,CHA,2019,Centers,-13.386399999999998,3591.9833333333336,-5.981144720968674,-0.07294078928010578,True,-0.004096990372331051,-0.06884379890777473,1
1610612766,CHA,2019,Forwards,-7.379099999999999,8121.566666666667,-3.297037665877304,-0.04020777641313785,True,0.003206629778064639,-0.04341440619120249,1
1610612766,CHA,2019,Guards,23.0036,8116.716666666667,10.278182386845979,0.12534368764446316,True,0.013085482545485925,0.11225820509897723,1
1610612741,CHI,2019,Centers,-13.4831,5144.1,0.6873662099903014,0.008382514755979285,True,-0.004096990372331051,0.012479505128310336,0
1610612741,CHI,2019,Forwards,-5.58599908537,7105.416666666666,0.2847733103158819,0.003472845247754657,True,0.003206629778064639,0.000266215469690018,0
1610612741,CHI,2019,Guards,-0.5464999999999995,7655.733333333333,0.02786047969381666,0.000339761947485569,True,0.013085482545485925,-0.012745720598000356,0
1610612739,CLE,2019,Centers,-11.8841,3015.8500000000004,0.6797828648568258,0.008290034937278364,True,-0.004096990372331051,0.012387025309609416,0
1610612739,CLE,2019,Forwards,-6.3706,8888.7,0.3644049375936667,0.004443962653581301,True,0.003206629778064639,0.001237332875516662,0
1610612739,CLE,2019,Guards,0.7725000000000002,7850.616666666667,-0.04418780245049252,-0.0005388756396401527,True,0.013085482545485925,-0.013624358185126077,0
1610612742,DAL,2019,Centers,-14.5965,4421.483333333333,2.39098741973529,0.02915838316750354,True,-0.004096990372331051,0.03325537353983459,2
1610612742,DAL,2019,Forwards,5.1804,8374.066666666666,-0.8485781679989515,-0.010348514243889653,True,0.003206629778064639,-0.013555144021954292,2
1610612742,DAL,2019,Guards,3.3112999999999997,6984.583333333333,-0.5424092517363385,-0.006614746972394372,True,0.013085482545485925,-0.019700229517880297,2
1610612743,DEN,2019,Centers,-1.3549000000000004,4270.900000000001,-0.09595812942201325,-0.0011702210905123567,True,-0.004096990372331051,0.0029267692818186948,1
1610612743,DEN,2019,Forwards,0.9974999999999998,7264.316666666667,0.07064597689752614,0.0008615363036283676,True,0.003206629778064639,-0.0023450934744362714,1
1610612743,DEN,2019,Guards,14.4771,8194.966666666667,1.025312152524487,0.012503806738103501,True,0.013085482545485925,-0.0005816758073824233,1
1610612765,DET,2019,Centers,-11.4234,4490.6,-1.9004497233914508,-0.023176216138920132,True,-0.004096990372331051,-0.019079225766589082,1
1610612765,DET,2019,Forwards,9.139893032,8482.216666666667,1.520554929748748,0.018543352801814,True,0.003206629778064639,0.01533672302374936,1
1610612765,DET,2019,Guards,8.2944,6882.333333333333,1.3798947936427024,0.016827985288325638,True,0.013085482545485925,0.0037425027428397133,1
1610612744,GSW,2019,Centers,-8.9499,3106.2333333333336,-0.9265192133076762,-0.011299014796435075,True,-0.004096990372331051,-0.007202024424104024,3
1610612744,GSW,2019,Forwards,1.7978967703000008,9110.783333333333,0.18612340933717345,0.0022697976748435786,True,0.003206629778064639,-0.0009368321032210605,3
1610612744,GSW,2019,Guards,16.8117057717,7588.166666666667,1.740395803970503,0.021224339072811012,True,0.013085482545485925,0.008138856527325088,3
1610612745,HOU,2019,Centers,-12.2764,3730.833333333333,-0.6805363844495075,-0.00829922420060375,True,-0.004096990372331051,-0.004202233828272698,3
1610612745,HOU,2019,Forwards,-5.6069,7577.566666666667,-0.31081582988253426,-0.0037904369497870033,True,0.003206629778064639,-0.006997066727851642,3
1610612745,HOU,2019,Guards,35.9226,8521.733333333334,1.9913522143320417,0.024284783101610266,True,0.013085482545485925,0.011199300556124342,3
