team_id,team_abbreviation,season_end_year,WPA_time,games_played,cluster,source
1610612738,BOS,2016,10.3,82.0,1,inpredictable
1610612766,CHA,2016,13.13,81.0,3,inpredictable
1610612741,CHI,2016,2.400000000000001,82.0,1,inpredictable
1610612739,CLE,2016,12.9,82.0,3,inpredictable
1610612742,DAL,2016,12.6,82.0,1,inpredictable
1610612743,DEN,2016,2.9499999999999997,82.0,1,inpredictable
1610612765,DET,2016,3.8100000000000005,82.0,1,inpredictable
1610612744,GSW,2016,24.16,82.0,3,inpredictable
1610612745,HOU,2016,7.73,82.0,1,inpredictable
1610612754,IND,2016,4.050000000000001,82.0,0,inpredictable
1610612746,LAC,2016,17.73,82.0,3,inpredictable
1610612747,LAL,2016,-0.68,82.0,2,inpredictable
1610612763,MEM,2016,4.84,82.0,2,inpredictable
1610612748,MIA,2016,6.4,82.0,0,inpredictable
1610612749,MIL,2016,3.6200000000000006,82.0,2,inpredictable
1610612750,MIN,2016,6.3100000000000005,82.0,1,inpredictable
1610612740,NOP,2016,8.32,82.0,1,inpredictable
1610612752,NYK,2016,3.0599999999999996,81.0,0,inpredictable
1610612760,OKC,2016,13.48,82.0,3,inpredictable
1610612753,ORL,2016,4.83,82.0,1,inpredictable
1610612755,PHI,2016,-9.68,82.0,2,inpredictable
1610612756,PHX,2016,-7.22,82.0,2,inpredictable
1610612757,POR,2016,11.18,82.0,3,inpredictable
1610612758,SAC,2016,0.8599999999999998,82.0,1,inpredictable
1610612759,SAS,2016,16.51,82.0,0,inpredictable
1610612761,TOR,2016,14.83,82.0,0,inpredictable
1610612762,UTA,2016,3.7700000000000005,82.0,0,inpredictable
1610612764,WAS,2016,6.210000000000001,82.0,0,inpredictable
1610612737,ATL,2017,6.63,82.0,1,inpredictable
1610612751,BKN,2017,1.8499999999999996,82.0,2,inpredictable
1610612738,BOS,2017,24.400000000000002,82.0,0,inpredictable
1610612766,CHA,2017,16.939999999999998,82.0,0,inpredictable
1610612741,CHI,2017,7.789999999999998,81.0,0,inpredictable
1610612739,CLE,2017,22.759999999999998,82.0,3,inpredictable
1610612742,DAL,2017,11.14,82.0,2,inpredictable
1610612743,DEN,2017,12.72,82.0,1,inpredictable
1610612765,DET,2017,6.92,82.0,0,inpredictable
1610612744,GSW,2017,21.31,81.0,3,inpredictable
1610612745,HOU,2017,21.97,82.0,3,inpredictable
1610612754,IND,2017,17.01,82.0,0,inpredictable
1610612746,LAC,2017,15.4,82.0,3,inpredictable
1610612747,LAL,2017,3.02,82.0,2,inpredictable
1610612763,MEM,2017,11.38,82.0,0,inpredictable
1610612748,MIA,2017,8.4,82.0,0,inpredictable
1610612749,MIL,2017,11.62,82.0,0,inpredictable
1610612750,MIN,2017,8.3,82.0,0,inpredictable
1610612740,NOP,2017,5.999999999999999,82.0,1,inpredictable
1610612752,NYK,2017,8.25,82.0,1,inpredictable
1610612760,OKC,2017,6.8100000000000005,82.0,1,inpredictable
1610612753,ORL,2017,5.24,82.0,2,inpredictable
1610612755,PHI,2017,2.6100000000000003,82.0,2,inpredictable
1610612756,PHX,2017,7.18,82.0,1,inpredictable
1610612757,POR,2017,18.39,82.0,1,inpredictable
1610612758,SAC,2017,10.64,82.0,2,inpredictable
1610612759,SAS,2017,18.07,82.0,0,inpredictable
1610612761,TOR,2017,19.05,82.0,0,inpredictable
1610612762,UTA,2017,15.71,82.0,0,inpredictable
1610612764,WAS,2017,18.0,82.0,1,inpredictable
1610612737,ATL,2018,7.11,82.0,2,inpredictable
1610612751,BKN,2018,12.84,82.0,1,inpredictable
1610612738,BOS,2018,17.919999999999998,82.0,0,inpredictable
1610612766,CHA,2018,9.02,82.0,3,inpredictable
1610612741,CHI,2018,6.37,82.0,2,inpredictable
1610612739,CLE,2018,25.92,82.0,0,inpredictable
1610612742,DAL,2018,10.28,82.0,2,inpredictable
1610612743,DEN,2018,16.93,82.0,3,inpredictable
1610612765,DET,2018,11.63,82.0,0,inpredictable
1610612744,GSW,2018,20.37,81.0,3,inpredictable
1610612745,HOU,2018,28.61,82.0,3,inpredictable
1610612754,IND,2018,12.93,82.0,0,inpredictable
1610612746,LAC,2018,14.559999999999999,82.0,1,inpredictable
1610612747,LAL,2018,10.05,82.0,1,inpredictable
