window_days,n,rho,p_value,significant,is_production_value
14,272,-0.17462974403499684,0.0038642538832385333,True,False
21,274,-0.1815425450461947,0.002557700305288311,True,False
30,282,-0.18924619961413547,0.0014091606693463759,True,True
45,291,-0.18168045619895887,0.001859283829392995,True,False
60,292,-0.18132694664807472,0.001864199971556958,True,False
