team_id,team_abbreviation,season_end_year,posicao,WPA_pos,MIN_pos,RCP_pos,RCP_pos_bar,stable,muP,deltaP,cluster,position_source
1610612737,ATL,2013,Centers,3.1300000000000003,,0.31300000000000006,0.003817073170731708,True,0.0025907946521799173,0.0012262785185517908,0,inpredictable_static
1610612737,ATL,2013,Forwards,0.75,,0.075,0.0009146341463414634,True,0.004761330853948739,-0.003846696707607276,0,inpredictable_static
1610612737,ATL,2013,Guards,6.12,,0.612,0.007463414634146341,True,0.004849018727535901,0.0026143959066104398,0,inpredictable_static
1610612751,BKN,2013,Centers,1.7000000000000004,,0.4485488126649077,0.005470107471523265,True,0.0025907946521799173,0.0028793128193433477,0,inpredictable_static
1610612751,BKN,2013,Forwards,-1.98,,-0.5224274406332453,-0.006371066349185919,True,0.004761330853948739,-0.011132397203134657,0,inpredictable_static
1610612751,BKN,2013,Guards,4.07,,1.0738786279683377,0.013096080828882167,True,0.004849018727535901,0.008247062101346266,0,inpredictable_static
1610612738,BOS,2013,Centers,-0.34,,3.090909090909082,0.038159371492704715,False,0.0025907946521799173,0.0355685768405248,0,inpredictable_static
1610612738,BOS,2013,Forwards,3.5,,-31.818181818181724,-0.392817059483725,False,0.004761330853948739,-0.3975783903376737,0,inpredictable_static
1610612738,BOS,2013,Guards,-3.27,,29.72727272727264,0.36700336700336594,False,0.004849018727535901,0.36215434827583004,0,inpredictable_static
1610612766,CHA,2013,Centers,-3.19,,0.7184684684684683,0.008761810591078882,True,0.0025907946521799173,0.006171015938898965,2,inpredictable_static
1610612766,CHA,2013,Forwards,-1.23,,0.277027027027027,0.0033783783783783777,True,0.004761330853948739,-0.0013829524755703615,2,inpredictable_static
1610612766,CHA,2013,Guards,-0.02000000000000024,,0.004504504504504558,5.493298176225071e-05,True,0.004849018727535901,-0.00479408574577365,2,inpredictable_static
1610612741,CHI,2013,Centers,-3.2,,1.0223642172523963,0.012467856307956052,True,0.0025907946521799173,0.009877061655776134,0,inpredictable_static
1610612741,CHI,2013,Forwards,0.76,,-0.2428115015974441,-0.0029611158731395622,True,0.004761330853948739,-0.007722446727088302,0,inpredictable_static
1610612741,CHI,2013,Guards,-0.69,,0.2204472843450479,0.0026883815164030233,True,0.004849018727535901,-0.002160637211132878,0,inpredictable_static
1610612739,CLE,2013,Centers,-2.6000000000000005,,-11.304347826086971,-0.1378579003181338,False,0.0025907946521799173,-0.14044869497031373,2,inpredictable_static
1610612739,CLE,2013,Forwards,0.32,,1.3913043478260885,0.01696712619300108,False,0.004761330853948739,0.01220579533905234,2,inpredictable_static
1610612739,CLE,2013,Guards,2.5100000000000002,,10.913043478260882,0.1330858960763522,False,0.004849018727535901,0.1282368773488163,2,inpredictable_static
1610612742,DAL,2013,Centers,-0.31,,-0.035509736540664374,-0.00043304556756907774,True,0.0025907946521799173,-0.003023840219748995,1,inpredictable_static
1610612742,DAL,2013,Forwards,5.17,,0.5922107674684994,0.007222082530103651,True,0.004761330853948739,0.002460751676154912,1,inpredictable_static
1610612742,DAL,2013,Guards,3.87,,0.44329896907216493,0.005406084988684938,True,0.004849018727535901,0.0005570662611490366,1,inpredictable_static
1610612743,DEN,2013,Centers,2.98,,0.2982982982982983,0.0036377841255890034,True,0.0025907946521799173,0.0010469894734090861,1,inpredictable_static
1610612743,DEN,2013,Forwards,5.799999999999999,,0.5805805805805805,0.0070802509826900055,True,0.004761330853948739,0.0023189201287412663,1,inpredictable_static
1610612743,DEN,2013,Guards,1.2099999999999997,,0.1211211211211211,0.001477086842940501,True,0.004849018727535901,-0.0033719318845954003,1,inpredictable_static
1610612765,DET,2013,Centers,0.98,,-0.4206008583690987,-0.005129278760598765,True,0.0025907946521799173,-0.007720073412778682,2,inpredictable_static
1610612765,DET,2013,Forwards,-0.76,,0.3261802575107296,0.003977808018423532,True,0.004761330853948739,-0.0007835228355252072,2,inpredictable_static
