team_id,team_abbreviation,team_name,season_end_year,season_year,style_cluster,style_label,performance_cluster,performance_label
1610612740,NOH,New Orleans Hornets,2022,2021-22,0,Alto Turnover,1,1: Offensive / High Pace
1610612740,NOH,New Orleans Hornets,2023,2022-23,0,Alto Turnover,0,0: Defensive / Slow Pace
1610612740,NOH,New Orleans Hornets,2024,2023-24,1,Aro Desguarnecido,3,3: Elite Contenders
1610612740,NOH,New Orleans Hornets,2025,2024-25,3,Bola em Movimento (alta assistência),2,2: Rebuilding / Lottery
1610612741,CHI,Chicago Bulls,2013,2012-13,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612741,CHI,Chicago Bulls,2014,2013-14,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612741,CHI,Chicago Bulls,2015,2014-15,0,Alto Turnover,3,3: Elite Contenders
1610612741,CHI,Chicago Bulls,2016,2015-16,2,Time Cuidadoso (baixo turnover),1,1: Offensive / High Pace
1610612741,CHI,Chicago Bulls,2017,2016-17,0,Alto Turnover,0,0: Defensive / Slow Pace
1610612741,CHI,Chicago Bulls,2018,2017-18,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612741,CHI,Chicago Bulls,2019,2018-19,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612741,CHI,Chicago Bulls,2020,2019-20,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612741,CHI,Chicago Bulls,2021,2020-21,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612741,CHI,Chicago Bulls,2022,2021-22,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612741,CHI,Chicago Bulls,2023,2022-23,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612741,CHI,Chicago Bulls,2024,2023-24,2,Time Cuidadoso (baixo turnover),1,1: Offensive / High Pace
1610612741,CHI,Chicago Bulls,2025,2024-25,2,Time Cuidadoso (baixo turnover),3,3: Elite Contenders
1610612742,DAL,Dallas Mavericks,2013,2012-13,2,Time Cuidadoso (baixo turnover),1,1: Offensive / High Pace
1610612742,DAL,Dallas Mavericks,2014,2013-14,1,Aro Desguarnecido,3,3: Elite Contenders
1610612742,DAL,Dallas Mavericks,2015,2014-15,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612742,DAL,Dallas Mavericks,2016,2015-16,2,Time Cuidadoso (baixo turnover),1,1: Offensive / High Pace
1610612742,DAL,Dallas Mavericks,2017,2016-17,1,Aro Desguarnecido,2,2: Rebuilding / Lottery
1610612742,DAL,Dallas Mavericks,2018,2017-18,2,Time Cuidadoso (baixo turnover),2,2: Rebuilding / Lottery
1610612742,DAL,Dallas Mavericks,2019,2018-19,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612742,DAL,Dallas Mavericks,2020,2019-20,2,Time Cuidadoso (baixo turnover),3,3: Elite Contenders
1610612742,DAL,Dallas Mavericks,2021,2020-21,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612742,DAL,Dallas Mavericks,2022,2021-22,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612742,DAL,Dallas Mavericks,2023,2022-23,1,Aro Desguarnecido,0,0: Defensive / Slow Pace
1610612742,DAL,Dallas Mavericks,2024,2023-24,2,Time Cuidadoso (baixo turnover),3,3: Elite Contenders
1610612742,DAL,Dallas Mavericks,2025,2024-25,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612743,DEN,Denver Nuggets,2013,2012-13,0,Alto Turnover,1,1: Offensive / High Pace
1610612743,DEN,Denver Nuggets,2014,2013-14,0,Alto Turnover,1,1: Offensive / High Pace
1610612743,DEN,Denver Nuggets,2015,2014-15,0,Alto Turnover,1,1: Offensive / High Pace
1610612743,DEN,Denver Nuggets,2016,2015-16,0,Alto Turnover,1,1: Offensive / High Pace
1610612743,DEN,Denver Nuggets,2017,2016-17,0,Alto Turnover,1,1: Offensive / High Pace
1610612743,DEN,Denver Nuggets,2018,2017-18,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612743,DEN,Denver Nuggets,2019,2018-19,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612743,DEN,Denver Nuggets,2020,2019-20,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612743,DEN,Denver Nuggets,2021,2020-21,0,Alto Turnover,1,1: Offensive / High Pace
1610612743,DEN,Denver Nuggets,2022,2021-22,1,Aro Desguarnecido,3,3: Elite Contenders
1610612743,DEN,Denver Nuggets,2023,2022-23,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612743,DEN,Denver Nuggets,2024,2023-24,2,Time Cuidadoso (baixo turnover),0,0: Defensive / Slow Pace
1610612743,DEN,Denver Nuggets,2025,2024-25,0,Alto Turnover,3,3: Elite Contenders
1610612744,GSW,Golden State Warriors,2013,2012-13,0,Alto Turnover,3,3: Elite Contenders
1610612744,GSW,Golden State Warriors,2014,2013-14,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
1610612744,GSW,Golden State Warriors,2015,2014-15,3,Bola em Movimento (alta assistência),3,3: Elite Contenders
