Ranking,Team,2023/24,2023/24(*)
1.,Golden State,209354737,215575491
2.,LA Clippers,201366679,207350074
3.,Phoenix,193838882,199598596
4.,Milwaukee,187346674,192913480
5.,Boston,186940921,192495669
6.,Denver,180922992,186298923
7.,Miami,177143542,182407172
8.,LA Lakers,169876920,174924626
9.,Dallas,167755884,172740566
10.,New Orleans,167403924,172378150
11.,Cleveland,166874287,171832777
12.,Minnesota,166434327,171379743
13.,Philadelphia,166271894,171212482
14.,Chicago,165630436,170551964
15.,Portland,165263993,170174630
16.,New York,164990518,169893032
17.,Toronto,163054678,167899669
18.,Memphis,162649524,167482470
19.,Oklahoma City,162515272,167344233
20.,Atlanta,159153393,163882464
21.,Brooklyn,155015136,159621241
22.,Sacramento,153564021,158127009
23.,Washington,150856313,155338839
24.,Houston,149356730,153794701
25.,Indiana,148722330,153141451
26.,San Antonio,142867770,147112925
27.,Detroit,139233014,143370164
28.,Charlotte,135774484,139808870
29.,Utah,133738448,137712338
30.,Orlando,132643598,136584956
