Ranking,Team,2019/20,2019/20(*)
1.,Oklahoma City,132017938,161928040
2.,Portland,131979953,161881448
3.,LA Clippers,131506341,161300533
4.,Cleveland,131059022,160751868
5.,Philadelphia,129912339,159345395
6.,Miami,129867871,159290850
7.,Golden State,129254928,158539039
8.,Denver,128746180,157915026
9.,Houston,128109922,157134618
10.,Orlando,126095610,154663944
11.,LA Lakers,123971686,152058818
12.,Milwaukee,122612183,150391306
13.,Toronto,122463495,150208932
14.,Washington,121296256,148777244
15.,Dallas,120871082,148255740
16.,San Antonio,119217331,146227313
17.,Utah,118910311,145850738
18.,Brooklyn,118889943,145825752
19.,New Orleans,117868297,144572641
20.,Boston,117759332,144438990
21.,Minnesota,114202982,140076911
22.,Sacramento,113796966,139578905
23.,Indiana,112872260,138444699
24.,Chicago,112601901,138113087
25.,Atlanta,110702618,135783499
26.,Detroit,104527576,128209432
27.,New York,100232129,122940807
28.,Phoenix,98539675,120864909
29.,Memphis,98495848,120811153
30.,Charlotte,96552033,118426946
