Ranking,Team,2017/18,2017/18(*)
1.,Cleveland,137722926,176641010
2.,Golden State,137610134,176496341
3.,Oklahoma City,134534640,172551767
4.,Miami,133624374,171384276
5.,Washington,123306396,158150619
6.,New Orleans,120814452,154954494
7.,Milwaukee,120521249,154578435
8.,Houston,119905532,153788726
9.,Detroit,119773191,153618991
10.,LA Clippers,119093010,152746604
11.,Portland,118708146,152252982
12.,Charlotte,117382664,150552943
13.,Toronto,116929373,149971558
14.,Minnesota,116075131,148875924
15.,Boston,115284776,147862224
16.,San Antonio,114633844,147027354
17.,Memphis,110700149,141982062
18.,Denver,107543599,137933530
19.,Utah,105606838,135449473
20.,New York,105403130,135188201
21.,LA Lakers,103126557,132268307
22.,Philadelphia,100797386,129280953
23.,Atlanta,99992696,128248869
24.,Sacramento,99587185,127728771
25.,Orlando,98700258,126591215
26.,Brooklyn,95475397,122455063
27.,Indiana,95271736,122193851
28.,Phoenix,92684083,118874973
29.,Chicago,90466801,116031124
30.,Dallas,85440245,109584150
