Ranking,Team,2011/12,2011/12(*)
1.,LA Lakers,88264478,122852404
2.,Orlando,87955505,122422356
3.,Portland,80920717,112630867
4.,Phoenix,80640576,112240948
5.,Boston,79820530,111099553
6.,Dallas,77180233,107424610
7.,New York,77093212,107303490
8.,Miami,75469639,105043691
9.,San Antonio,73732762,102626190
10.,Atlanta,73669912,102538712
11.,Detroit,70923605,98716216
12.,Memphis,70628007,98304784
13.,Chicago,69548447,96802179
14.,LA Clippers,67333389,93719111
15.,Philadelphia,66672368,92799060
16.,New Orleans,65441008,91085170
17.,Brooklyn,65281235,90862784
18.,Cleveland,64875599,90298196
19.,Golden State,61576901,85706846
20.,Milwaukee,60192388,83779789
21.,Oklahoma City,59501709,82818457
22.,Denver,58553173,81498221
23.,Utah,58178016,80976053
24.,Charlotte,57902024,80591909
25.,Houston,57021755,79366691
26.,Minnesota,56844339,79119753
27.,Washington,55386345,77090417
28.,Toronto,55063049,76640434
29.,Indiana,51554083,71756418
30.,Sacramento,48950236,68132210
