Ranking,Team,2013/14,2013/14(*)
1.,Brooklyn,102589967,138032757
2.,New York,89072787,119845658
3.,Miami,80841617,108770784
4.,LA Lakers,77423614,104171929
5.,Dallas,75012158,100927363
6.,Chicago,73336893,98673324
7.,LA Clippers,73049774,98287014
8.,Golden State,72503122,97551504
9.,Memphis,71992885,96864987
10.,Oklahoma City,71653401,96408221
11.,Toronto,71561643,96284761
12.,Boston,70885503,95375029
13.,Minnesota,68564040,92251548
14.,New Orleans,67358651,90629716
15.,Indiana,67182414,90392597
16.,Cleveland,66654061,89681710
17.,Denver,65782065,88508456
18.,Washington,64698822,87050973
19.,San Antonio,63115911,84921200
20.,Detroit,62387432,83941045
21.,Portland,61260350,82424578
22.,Charlotte,60395651,81261143
23.,Sacramento,59174155,79617644
24.,Atlanta,58998677,79381541
25.,Houston,57823063,77799775
26.,Orlando,56948031,76622437
27.,Utah,56911999,76573958
28.,Phoenix,55569468,74767608
29.,Milwaukee,54400846,73195250
30.,Philadelphia,51741312,69616898
