Ranking,Team,2016/17,2016/17(*)
1.,Cleveland,128522489,167533343
2.,Portland,119732234,156074952
3.,LA Clippers,114756766,149589264
4.,San Antonio,112017779,146018902
5.,Memphis,110083520,143497530
6.,Toronto,108599970,141563674
7.,Detroit,106492988,138817154
8.,Orlando,104096951,135693836
9.,Washington,104016580,135589072
10.,Charlotte,103054004,134334324
11.,New York,102593418,133733931
12.,Dallas,102354966,133423098
13.,New Orleans,101616451,132460421
14.,Golden State,101584835,132419209
15.,Miami,100740770,131318946
16.,Atlanta,96315163,125550017
17.,Milwaukee,96245877,125459700
18.,Sacramento,95596327,124612990
19.,LA Lakers,94781848,123551292
20.,Boston,93465326,121835160
21.,Chicago,92522306,120605903
22.,Oklahoma City,91230089,118921455
23.,Houston,90956067,118564259
24.,Indiana,90279072,117681770
25.,Phoenix,89754590,116998090
26.,Philadelphia,84775343,110507474
27.,Denver,83836460,109283609
28.,Minnesota,83527580,108880975
29.,Brooklyn,82391482,107400033
30.,Utah,80138192,104462798
