Ranking,Team,2012/13,2012/13(*)
1.,LA Lakers,100131988,137089243
2.,Brooklyn,87644649,119993008
3.,Miami,80427933,110112709
4.,New York,79977119,109495505
5.,Boston,75508399,103377445
6.,Chicago,74491280,101984922
7.,Golden State,70036985,95886612
8.,San Antonio,69838600,95615008
9.,Dallas,69766571,95516384
10.,LA Clippers,69152721,94675978
11.,Oklahoma City,68924100,94362978
12.,Detroit,68807497,94203339
13.,Atlanta,66710178,91331928
14.,Philadelphia,66697839,91315035
15.,Orlando,66557496,91122895
16.,Indiana,66107195,90506393
17.,Utah,65657569,89890814
18.,Minnesota,64329748,88072913
19.,New Orleans,64134537,87805656
20.,Toronto,63708138,87221879
21.,Denver,63444254,86860600
22.,Memphis,63054115,86326467
23.,Milwaukee,62410041,85444675
24.,Washington,59715539,81755667
25.,Portland,59442596,81381987
26.,Charlotte,58122566,79574756
27.,Cleveland,54472190,74577074
28.,Sacramento,54421935,74508274
29.,Phoenix,54196264,74199312
30.,Houston,48048265,65782172
