Ranking,Team,2014/15,2014/15(*)
1.,Brooklyn,87817289,115757521
2.,LA Clippers,85259447,112385865
3.,Dallas,84820225,111806900
4.,Cleveland,82592827,108870827
5.,New York,81369219,107257909
6.,Toronto,81317963,107190349
7.,Oklahoma City,80408520,105991554
8.,New Orleans,80012866,105470012
9.,LA Lakers,77546500,102218941
10.,Houston,76849302,101299920
11.,Miami,75813041,99933961
12.,Memphis,75158730,99071471
13.,Indiana,74793526,98590073
14.,Golden State,73611166,97031531
15.,Sacramento,73379071,96725589
16.,Washington,73372974,96717556
17.,San Antonio,70770209,93286684
18.,Portland,69936842,92188171
19.,Minnesota,69378954,91452780
20.,Chicago,67414682,88863554
21.,Detroit,67410675,88858270
22.,Charlotte,66792937,88043990
23.,Boston,62218516,82014153
24.,Utah,60847538,80206983
25.,Orlando,59629210,78601027
26.,Atlanta,58320278,76875642
27.,Phoenix,58018672,76478074
28.,Denver,56820307,74898435
29.,Milwaukee,54473275,71804662
30.,Philadelphia,54355571,71649503
