Ranking,Team,2022/23,2022/23(*)
1.,LA Clippers,192905421,204535294
2.,Golden State,192386134,203984702
3.,Milwaukee,182930771,193959293
4.,Boston,178633307,189402747
5.,Dallas,177244238,187929929
6.,Phoenix,176042453,186655694
7.,LA Lakers,169391473,179603738
8.,Denver,162338665,172125732
9.,Brooklyn,159566723,169186672
10.,Washington,152008934,161173239
11.,Cleveland,151966241,161127975
12.,Chicago,151964990,161126647
13.,Miami,151408266,160536360
14.,Toronto,150992313,160095330
15.,Philadelphia,150496913,159570063
16.,Atlanta,149836313,158869639
17.,New York,148987936,157970114
18.,Oklahoma City,148856338,157830582
19.,Utah,148738241,157705365
20.,New Orleans,148360910,157305287
21.,Minnesota,145793656,154583256
22.,Portland,144997250,153738833
23.,Sacramento,139423615,147829176
24.,Houston,137579793,145874191
25.,Detroit,129153570,136939969
26.,Memphis,127139520,134804500
27.,Orlando,126107324,133710077
28.,Charlotte,125874047,133462735
29.,Indiana,125706114,133284674
30.,San Antonio,104545376,110848194
