Ranking,Team,2021/22,2021/22(*)
1.,Golden State,178980766,206963957
2.,Brooklyn,174811922,202143321
3.,LA Clippers,168378382,194703915
4.,LA Lakers,164409293,190114264
5.,Milwaukee,160875421,186027881
6.,Utah,149760719,173175425
7.,Philadelphia,148922969,172206695
8.,Miami,140840240,162860249
9.,Indiana,138181486,159785807
10.,Denver,137963926,159534234
11.,Minnesota,137432702,158919956
12.,Boston,136557646,157908082
13.,Phoenix,136476474,157814221
14.,Cleveland,136385911,157709500
15.,Chicago,136083814,157360165
16.,New Orleans,135793968,157025005
17.,Atlanta,135166020,156298879
18.,Toronto,134896484,155987201
19.,Houston,132267085,152946704
20.,Detroit,131120355,151620682
21.,Sacramento,130457848,150854598
22.,Washington,128019790,148035352
23.,San Antonio,127655401,147613994
24.,Orlando,126786646,146609408
25.,Dallas,126696965,146505707
26.,Portland,124788473,144298828
27.,Charlotte,122139566,141235777
28.,New York,120644081,139506473
29.,Memphis,117284457,135621576
30.,Oklahoma City,82022873,94846931
