Ranking,Team,2015/16,2015/16(*)
1.,Cleveland,108300458,142581211
2.,LA Clippers,97019321,127729210
3.,Oklahoma City,95708387,126003321
4.,Golden State,93669566,123319143
5.,San Antonio,87832839,115634895
6.,Houston,87504058,115202044
7.,Chicago,87073838,114635645
8.,Miami,85764781,112912227
9.,Washington,85055155,111977978
10.,New Orleans,83709371,110206207
11.,Memphis,83223881,109567043
12.,Brooklyn,80258302,105662759
13.,Detroit,77256014,101710148
14.,Boston,77141919,101559937
15.,Charlotte,76860006,101188788
16.,Dallas,75397067,99262779
17.,New York,74237021,97735540
18.,Milwaukee,73843541,97217512
19.,LA Lakers,72694352,95704564
20.,Denver,72589023,95565893
21.,Minnesota,72287243,95168593
22.,Atlanta,71661760,94345122
23.,Indiana,71605233,94270703
24.,Toronto,71591189,94252213
25.,Sacramento,70610560,92961183
26.,Phoenix,68095365,89649840
27.,Philadelphia,64583220,85025979
28.,Utah,63608425,83742634
29.,Orlando,63199651,83204468
30.,Portland,61685814,81211451
