Ranking,Team,2010/11,2010/11(*)
1.,LA Lakers,91428140,131784621
2.,Orlando,90770804,130837132
3.,Dallas,85409890,123109908
4.,Boston,82045867,118261000
5.,Utah,75855296,109337903
6.,Portland,74584058,107505539
7.,Houston,72315654,104235859
8.,Atlanta,71469843,103016707
9.,Memphis,70241344,101245942
10.,Toronto,69992648,100887473
11.,San Antonio,69522311,100209529
12.,Milwaukee,69076690,99567212
13.,Philadelphia,68915246,99334506
14.,Golden State,68415336,98613937
15.,New Orleans,68230729,98347842
16.,Denver,68019290,98043075
17.,New York,67016562,96597741
18.,Charlotte,66542696,95914708
19.,Miami,66205855,95429186
20.,Phoenix,65979054,95102276
21.,Detroit,65517821,94437456
22.,Indiana,65088630,93818815
23.,Brooklyn,58495989,84316177
24.,Washington,58324988,84069696
25.,Oklahoma City,55922488,80606733
26.,Chicago,54538076,78611238
27.,Cleveland,53990021,77821270
28.,Minnesota,53461123,77058915
29.,LA Clippers,53225329,76719041
30.,Sacramento,45268465,65250009
